tech_class,atb_year,scenario,fixed_om,variable_om,ref_cf,fixed_share
Coal,2024,Moderate,85.7,9.22,0.6,0.6388
Coal,2025,Moderate,85.3,9.18,0.6,0.6387
Coal,2026,Moderate,84.9,9.14,0.6,0.6386
Coal,2027,Moderate,84.5,9.1,0.6,0.6386
Coal,2028,Moderate,84.1,9.06,0.6,0.6385
Coal,2029,Moderate,83.7,9.03,0.6,0.6381
Coal,2030,Moderate,83.3,8.99,0.6,0.6381
Coal,2031,Moderate,82.9,8.95,0.6,0.638
Coal,2032,Moderate,82.5,8.91,0.6,0.6379
Coal,2033,Moderate,82.0,8.87,0.6,0.6375
Coal,2034,Moderate,82.0,8.83,0.6,0.6386
Coal,2035,Moderate,81.2,8.79,0.6,0.6374
Gas:CC,2024,Moderate,33.8,2.14,0.5,0.7829
Gas:CC,2025,Moderate,33.5,2.12,0.5,0.783
Gas:CC,2026,Moderate,33.1,2.1,0.5,0.7825
Gas:CC,2027,Moderate,32.8,2.09,0.5,0.7818
Gas:CC,2028,Moderate,32.4,2.07,0.5,0.7814
Gas:CC,2029,Moderate,32.1,2.06,0.5,0.7806
Gas:CC,2030,Moderate,31.8,2.04,0.5,0.7807
Gas:CC,2031,Moderate,31.4,2.02,0.5,0.7802
Gas:CC,2032,Moderate,31.1,2.01,0.5,0.7794
Gas:CC,2033,Moderate,30.7,1.99,0.5,0.7789
Gas:CC,2034,Moderate,30.4,1.98,0.5,0.778
Gas:CC,2035,Moderate,30.1,1.96,0.5,0.7781
Gas:CT,2024,Moderate,25.8,6.94,0.15,0.7388
Gas:CT,2025,Moderate,25.7,6.94,0.15,0.7381
Gas:CT,2026,Moderate,25.6,6.94,0.15,0.7373
Gas:CT,2027,Moderate,25.4,6.94,0.15,0.7358
Gas:CT,2028,Moderate,25.3,6.94,0.15,0.7351
Gas:CT,2029,Moderate,25.1,6.94,0.15,0.7335
Gas:CT,2030,Moderate,25.0,6.94,0.15,0.7327
Gas:CT,2031,Moderate,24.8,6.94,0.15,0.7312
Gas:CT,2032,Moderate,24.7,6.94,0.15,0.7304
Gas:CT,2033,Moderate,24.5,6.94,0.15,0.7288
Gas:CT,2034,Moderate,24.4,6.94,0.15,0.7279
Gas:CT,2035,Moderate,24.2,6.94,0.15,0.7263
Gas:ST,2024,Moderate,25.8,6.94,0.2,0.6797
Gas:ST,2025,Moderate,25.7,6.94,0.2,0.6788
Gas:ST,2026,Moderate,25.6,6.94,0.2,0.678
Gas:ST,2027,Moderate,25.4,6.94,0.2,0.6763
Gas:ST,2028,Moderate,25.3,6.94,0.2,0.6754
Gas:ST,2029,Moderate,25.1,6.94,0.2,0.6737
Gas:ST,2030,Moderate,25.0,6.94,0.2,0.6728
Gas:ST,2031,Moderate,24.8,6.94,0.2,0.671
Gas:ST,2032,Moderate,24.7,6.94,0.2,0.6701
Gas:ST,2033,Moderate,24.5,6.94,0.2,0.6683
Gas:ST,2034,Moderate,24.4,6.94,0.2,0.6674
Gas:ST,2035,Moderate,24.2,6.94,0.2,0.6656
Gas:IC,2024,Moderate,25.8,6.94,0.2,0.6797
Gas:IC,2025,Moderate,25.7,6.94,0.2,0.6788
Gas:IC,2026,Moderate,25.6,6.94,0.2,0.678
Gas:IC,2027,Moderate,25.4,6.94,0.2,0.6763
Gas:IC,2028,Moderate,25.3,6.94,0.2,0.6754
Gas:IC,2029,Moderate,25.1,6.94,0.2,0.6737
Gas:IC,2030,Moderate,25.0,6.94,0.2,0.6728
Gas:IC,2031,Moderate,24.8,6.94,0.2,0.671
Gas:IC,2032,Moderate,24.7,6.94,0.2,0.6701
Gas:IC,2033,Moderate,24.5,6.94,0.2,0.6683
Gas:IC,2034,Moderate,24.4,6.94,0.2,0.6674
Gas:IC,2035,Moderate,24.2,6.94,0.2,0.6656
Nuclear,2030,Moderate,175.0,2.8,0.9,0.888
Nuclear,2031,Moderate,175.0,2.8,0.9,0.888
Nuclear,2032,Moderate,175.0,2.8,0.9,0.888
Nuclear,2033,Moderate,175.0,2.8,0.9,0.888
Nuclear,2034,Moderate,175.0,2.8,0.9,0.888
Nuclear,2035,Moderate,175.0,2.8,0.9,0.888
Storage:Battery,2024,Moderate,44.25,0.0,0.25,1.0
Storage:Battery,2025,Moderate,38.78,0.0,0.25,1.0
Storage:Battery,2026,Moderate,37.52,0.0,0.25,1.0
Storage:Battery,2027,Moderate,36.27,0.0,0.25,1.0
Storage:Battery,2028,Moderate,35.01,0.0,0.25,1.0
Storage:Battery,2029,Moderate,33.76,0.0,0.25,1.0
Storage:Battery,2030,Moderate,32.5,0.0,0.25,1.0
Storage:Battery,2031,Moderate,32.0,0.0,0.25,1.0
Storage:Battery,2032,Moderate,31.5,0.0,0.25,1.0
Storage:Battery,2033,Moderate,31.0,0.0,0.25,1.0
Storage:Battery,2034,Moderate,30.5,0.0,0.25,1.0
